FunctionName,RelativePath,CountLineCode,CountPath,Cyclomatic,MaxNesting,Knots,CountInput,CountOutput
last_component,,20,8,5,2,1,4,1
xmalloc,,8,2,2,1,1,77,3
__builtin___memcpy_chk,,,,,,,,
__builtin_object_size,,,,,,,,
dir_len,,19,3,6,2,2,2,2
dir_name,,15,2,2,1,0,1,5
strlen,,,,,,,,
base_len,,15,6,4,1,2,3,2
xstrndup,,8,2,2,1,1,3,3
base_name,,21,5,4,1,2,1,7
strip_trailing_slashes,,13,2,2,1,0,2,3
x2nrealloc,,,,,,,,
x2realloc,,5,1,1,0,0,2,2
xalloc_die,,6,1,1,0,0,6,2
xcalloc,,9,2,3,1,1,6,3
xcharalloc,,,,,,,,
xmemdup,,5,1,1,0,0,4,4
xnmalloc,,,,,,,,
xnrealloc,,,,,,,,
xrealloc,,8,2,2,1,1,38,3
xstrdup,,5,1,1,0,0,29,3
xzalloc,,5,1,1,0,0,1,4
fflush,,,,,,,,
fprintf,,,,,,,,
putc,,,,,,,,
vfprintf,,,,,,,,
exit,,,,,,,,
strcmp,,,,,,,,
strerror,,,,,,,,
__builtin_va_end,,,,,,,,
__builtin_va_start,,,,,,,,
error,,14,2,2,1,1,10,5
error_at_line,,28,5,5,2,3,10,6
error_tail,,13,4,3,1,1,7,7
print_errno_message,,9,2,2,1,0,3,2
memcmp,,,,,,,,
strncmp,,,,,,,,
quote_n,,5,1,1,0,0,4,2
quotearg_n_style,,6,1,1,0,0,6,3
__argmatch_die,,5,1,1,0,0,1,1
__xargmatch_internal,,14,2,2,1,1,5,4
argmatch,,33,11,7,4,6,6,4
argmatch_invalid,,9,1,2,0,0,4,3
argmatch_to_argument,,11,3,3,2,3,4,2
argmatch_valid,,20,3,3,2,1,5,3
dcnpgettext_expr,,21,2,4,1,1,6,4
dcpgettext_expr,,20,2,2,1,1,4,4
npgettext_aux,,14,2,4,1,1,6,1
pgettext_aux,,12,2,2,1,1,4,1
clone_quoting_options,,9,1,2,0,0,2,3
get_quoting_style,,5,1,2,0,0,3,1
quotearg,,5,1,1,0,0,1,2
quotearg_alloc,,6,1,1,0,0,3,2
quotearg_alloc_mem,,17,2,4,1,0,9,5
quotearg_buffer,,12,1,2,0,0,9,3
quotearg_char,,5,1,1,0,0,3,2
quotearg_char_mem,,8,1,1,0,0,6,3
quotearg_colon,,5,1,1,0,0,1,2
quotearg_colon_mem,,5,1,1,0,0,2,2
quotearg_free,,20,8,4,1,0,5,6
quotearg_mem,,5,1,1,0,0,2,2
quotearg_n,,5,1,1,0,0,4,2
quotearg_n_mem,,5,1,1,0,0,5,2
quotearg_n_style_mem,,7,1,1,0,0,5,3
quotearg_style,,5,1,1,0,0,2,2
quotearg_style_mem,,5,1,1,0,0,3,2
set_char_quoting,,11,1,2,0,0,6,1
set_quoting_flags,,10,2,2,1,0,4,2
set_quoting_style,,5,1,2,0,0,3,2
quote,,5,1,1,0,0,1,2
full_read,,,,,,,,
safe_read,,17,5,5,2,7,4,3
__error,,,,,,,,
safe_write,,,,,,,,
full_write,,21,5,4,2,4,4,3
internal_fnmatch,,,,,,,,
fnmatch,,6,1,1,0,0,5,3
gettimeofday,,,,,,,,
gettime,,10,1,1,0,0,2,4
settime,,,,,,,,
timespec_cmp,,7,1,3,0,0,4,1
time,,,,,,,,
rpl_gettimeofday,,8,1,1,0,0,0,5
_getopt_internal_r,,364,7162370,75,6,73,25,18
_getopt_long_only_r,,8,1,1,0,0,6,2
_getopt_long_r,,8,1,1,0,0,6,2
getopt_long,,7,1,1,0,0,0,1
getopt_long_only,,8,1,1,0,0,0,1
_getopt_internal,,15,1,1,0,0,14,8
get_fs_usage,,13,1,1,0,0,3,1
getenv,,,,,,,,
strchr,,,,,,,,
_getopt_initialize,,23,4,4,1,3,6,8
exchange,,39,5,5,3,1,6,3
getopt,,6,1,1,0,0,6,2
malloc,,,,,,,,
rpl_malloc,,9,2,2,1,0,1,3
free,,,,,,,,
realloc,,,,,,,,
fclose,,,,,,,,
fopen,,,,,,,,
fscanf,,,,,,,,
getc,,,,,,,,
ungetc,,,,,,,,
__builtin___strcpy_chk,,,,,,,,
get_charset_aliases,,95,1747,19,5,17,2,15
locale_charset,,32,48,8,3,2,1,5
lstat,,,,,,,,
stat,,,,,,,,
orig_lstat,,5,1,1,0,0,3,2
rpl_lstat,,17,5,5,1,4,3,5
localeconv,,,,,,,,
xstrtoumax,,,,,,,,
__builtin___memmove_chk,,,,,,,,
__builtin___sprintf_chk,,,,,,,,
adjust_value,,10,2,2,1,0,3,1
default_block_size,,5,1,2,0,0,2,2
group_number,,30,9,6,2,2,5,4
human_options,,11,2,2,1,0,3,4
human_readable,,194,5880,39,5,11,11,9
humblock,,46,17,9,5,7,5,7
xstrtoimax,,,,,,,,
xstrtol,,118,1160,35,4,104,4,10
xstrtol_fatal,,8,1,1,0,0,6,2
xstrtoul,,,,,,,,
getgrgid,,,,,,,,
getgrnam,,,,,,,,
getpwnam,,,,,,,,
getpwuid,,,,,,,,
getgidbyname,,25,11,7,2,7,8,12
getgroup,,25,6,7,2,2,8,10
getuidbyname,,25,11,7,2,7,8,12
getuser,,25,6,7,2,2,8,10
mmalloca,,7,2,2,1,0,3,2
memmove,,15,5,5,2,1,3,1
mbrtowc,,,,,,,,
rpl_mbrtowc,,5,1,1,0,0,4,2
iswcntrl,,,,,,,,
wcwidth,,,,,,,,
is_basic,,6,1,1,0,0,3,1
mb_copy,,14,4,3,1,1,9,7
mb_width_aux,,6,1,3,0,0,1,3
mbsinit,,6,1,1,0,0,3,1
verify_function__,,,,,,,,
gen_tempname,,76,19,12,4,32,6,11
mkstemp,,6,1,1,0,0,4,2
__builtin___memset_chk,,,,,,,,
mbuiter_multi_next,,46,15,11,3,6,12,14
mbslen,,15,3,3,2,1,8,9
__assert_rtn,,,,,,,,
strnlen1,,9,2,2,1,1,3,2
__builtin_expect,,,,,,,,
mbuiter_multi_copy,,10,2,2,1,1,6,7
mbuiter_multi_reloc,,5,1,1,0,0,1,2
open,,18,2,3,1,0,9,4
orig_open,,5,1,1,0,0,4,2
abort,,,,,,,,
strnlen,,6,1,2,0,0,4,2
knuth_morris_pratt_unibyte,,65,31,12,3,10,3,5
knuth_morris_pratt_multibyte,,83,97,18,4,24,9,15
mbsstr,,131,88,30,6,73,9,14
sigaction,,54,22,10,3,16,8,9
select,,,,,,,,
get_handler,,7,2,2,1,1,6,1
my_usleep,,19,3,3,2,1,6,3
rpl_nanosleep,,27,6,4,2,0,3,9
sighandler,,5,1,1,0,0,0,1
_unsetenv,,26,4,5,3,2,3,5
putenv,,35,10,6,2,6,2,9
readlink,,8,2,2,1,0,2,3
rename,,,,,,,,
rpl_rename,,18,4,3,1,1,2,6
read,,,,,,,,
isprint,,,,,,,,
iswprint,,,,,,,,
gettext_quote,,8,2,2,1,0,3,1
quotearg_buffer_restyled,,298,38277377,214,8,348,11,12
quotearg_n_options,,41,11,9,2,3,18,14
quoting_options_from_style,,9,1,1,0,0,4,5
__sigbits,,,,,,,,
sigprocmask,,60,134,14,5,17,6,6
signal,,,,,,,,
sigaction_handler,,28,6,5,2,2,6,8
raise,,,,,,,,
blocked_handler,,7,2,2,1,0,1,2
rpl_signal,,21,3,3,2,3,3,4
sigpending,,11,3,3,2,0,1,2
isupper,,,,,,,,
tolower,,,,,,,,
strcasecmp,,23,5,9,2,4,3,3
two_way_long_needle,,87,208,30,4,15,5,6
two_way_short_needle,,63,22,22,4,13,5,6
strcasestr,,31,8,7,1,3,3,5
memchr,,,,,,,,
strncasecmp,,23,5,9,2,4,8,3
critical_factorization,,73,50,14,3,7,4,4
strndup,,10,2,2,1,1,3,5
isalpha,,,,,,,,
isspace,,,,,,,,
toupper,,,,,,,,
__strtol_internal,,98,24001,25,2,23,4,6
strtol,,6,1,1,0,0,4,2
is_cjk_encoding,,15,2,2,1,1,2,2
uc_width,,48,19,12,4,19,5,2
u16_strwidth,,,,,,,,
u16_width,,,,,,,,
u32_strwidth,,,,,,,,
u32_width,,,,,,,,
u8_strwidth,,,,,,,,
u8_width,,,,,,,,
mkdir,,,,,,,,
getpid,,,,,,,,
rpl_wcwidth,,13,2,4,1,1,1,5
fstat,,,,,,,,
close,,,,,,,,
ftruncate,,,,,,,,
lseek,,,,,,,,
rpl_utime,,7,2,2,1,1,2,3
utime,,,,,,,,
utime_null,,28,10,5,2,0,3,9
calloc,,,,,,,,
xstrtol_error,,36,7,6,1,7,8,2
bkm_scale,,16,3,3,1,2,4,2
bkm_scale_by_power,,8,2,2,1,0,4,2
fgetc,,,,,,,,
fgets,,,,,,,,
fseek,,,,,,,,
ftell,,,,,,,,
sscanf,,,,,,,,
configuration_end,,6,2,2,1,0,4,1
configuration_getline,,45,66,12,4,9,6,8
configuration_getvarinfo,,56,1472,20,6,7,17,13
configuration_init,,12,3,3,1,2,4,4
configuration_section,,10,3,3,2,3,4,6
atoi,,,,,,,,
atol,,,,,,,,
qsort,,,,,,,,
tty_background,,6,1,1,0,0,7,1
tty_beep,,6,1,1,0,0,12,2
tty_brightness,,6,1,1,0,0,6,1
tty_clear,,11,1,1,0,0,10,5
tty_colors,,8,1,1,0,0,26,3
tty_cursor,,15,4,4,2,1,5,1
tty_defaults,,12,4,3,1,0,19,6
tty_end,,7,1,1,0,0,11,1
tty_end_cursorapp,,7,1,1,0,0,6,3
tty_fill,,9,1,1,0,0,6,3
tty_flush,,15,3,3,2,2,10,2
tty_foreground,,6,1,1,0,0,8,1
tty_get_color_index,,10,3,4,2,3,4,2
tty_get_cursor,,7,1,1,0,0,3,2
tty_get_key,,75,3616,18,3,9,15,16
tty_get_mode,,5,1,1,0,0,3,1
tty_get_previous_key_seq,,5,1,1,0,0,4,1
tty_get_screen,,6,1,1,0,0,4,0
tty_get_symbol_key_seq,,10,3,3,2,3,7,2
tty_getc,,15,3,4,1,1,3,8
tty_goto,,7,1,1,0,0,6,2
tty_init,,31,1,1,0,0,12,18
tty_io_clear,,6,1,1,0,0,7,2
tty_key_human2machine,,28,6,6,4,12,6,2
tty_key_list_insert,,18,7,5,2,4,8,2
tty_key_machine2human,,36,13,15,2,5,6,5
tty_key_print,,25,1,1,0,0,6,13
tty_key_print_async,,9,2,2,1,0,3,2
tty_key_search,,21,8,6,2,7,5,5
tty_key_search_restart,,5,1,1,0,0,2,1
tty_put_screen,,8,1,1,0,0,6,2
tty_putc,,7,1,1,0,0,2,2
tty_puts,,19,4,4,1,2,12,5
tty_resize,,48,576,15,1,4,11,15
tty_restore,,6,1,1,0,0,11,1
tty_save,,6,1,1,0,0,11,1
tty_set_interrupt_char,,11,1,1,0,0,3,4
tty_set_last_char_flag,,6,1,1,0,0,4,1
tty_set_mode,,38,2,2,1,1,21,20
tty_set_optimization_level,,,,,,,,
tty_start_cursorapp,,6,1,1,0,0,6,2
tty_touch,,5,1,1,0,0,7,2
tty_update,,33,24,7,3,0,36,7
tty_update_title,,22,3,3,2,0,15,8
window_columns,,6,1,1,0,0,2,1
window_end,,7,2,2,1,0,5,1
window_goto,,9,1,1,0,0,31,4
window_init,,7,1,1,0,0,6,3
window_lines,,6,1,1,0,0,2,1
window_putc,,11,3,3,1,2,12,3
window_puts,,16,4,4,1,3,31,3
window_resize,,10,1,1,0,0,11,5
window_x,,6,1,1,0,0,3,1
window_y,,6,1,1,0,0,2,1
common_configuration_init,,15,2,5,1,1,5,8
compute_directories,,10,1,1,0,0,3,0
configuration_help,,,,,,,,
display_exit_message,,9,1,1,0,0,10,3
fatal_signal,,28,4,6,1,6,3,5
get_colorset_var,,22,4,4,3,1,10,4
get_const_var,,20,7,5,3,5,7,4
get_file_length,,10,1,1,0,0,2,2
get_file_type_info,,47,99,9,2,7,2,10
get_flag_var,,18,4,4,2,5,8,4
get_int_var,,9,1,2,0,0,4,3
get_local_time,,7,1,1,0,0,5,3
get_login_name,,18,2,2,1,1,6,6
get_string_var,,10,2,2,1,1,5,3
is_a_bg_command,,14,4,4,2,6,2,2
is_an_empty_command,,9,3,3,2,3,2,1
minimize_path,,37,132,10,4,2,4,2
needs_quotes,,18,3,3,2,3,3,2
specific_configuration_init,,48,5,17,4,7,9,11
toprintable,,10,3,3,2,0,11,2
truncate_long_name,,31,6,6,2,11,5,4
truncate_string,,10,1,2,0,0,4,4
update_path,,14,2,3,1,1,2,7
use_section,,27,4,6,3,4,9,10
xsetenv,,11,2,2,1,0,6,2
printf,,,,,,,,
ioctl,,,,,,,,
do_exit,,8,1,1,0,0,1,4
main,,21,3,3,2,2,2,7
read,,,,,,,,
islower,,,,,,,,
fdopen,,,,,,,,
strdup,,,,,,,,
strrchr,,,,,,,,
alarm,,,,,,,,
getuid,,,,,,,,
sleep,,,,,,,,
unlink,,,,,,,,
write,,,,,,,,
history_expand,,111,2125,35,7,20,5,11
il_backward_char,,9,2,2,1,0,5,3
il_backward_delete_char,,16,3,3,2,0,9,10
il_backward_kill_word,,17,3,3,1,2,4,6
il_backward_word,,14,5,4,2,0,6,4
il_beginning_of_line,,6,1,1,0,0,6,3
il_capitalize_word,,23,5,5,4,1,5,7
