Function,Count
quoted_strchr,0
unquoted_member,0
unquoted_substring,0
sub_append_string,0
string_extract,0
string_extract_double_quoted,0
skip_double_quoted,0
string_extract_single_quoted,0
skip_single_quoted,0
string_extract_verbatim,0
extract_command_subst,0
extract_arithmetic_subst,0
extract_delimited_string,0
extract_dollar_brace_string,1
de_backslash,0
skip_matched_pair,0
skip_to_delim,0
string_list_internal,0
string_list,0
ifs_firstchar,0
string_list_dollar_star,0
string_list_dollar_at,0
string_list_pos_params,0
list_string,0
get_word_from_string,0
strip_trailing_ifs_whitespace,0
do_assignment_internal,1
do_assignment,0
do_word_assignment,0
do_assignment_no_expand,0
list_rest_of_args,0
number_of_args,0
string_rest_of_args,0
pos_params,0
expand_string_if_necessary,0
expand_string_to_string_internal,0
expand_string_to_string,0
expand_string_unsplit_to_string,0
expand_assignment_string_to_string,0
expand_arith_string,0
call_expand_word_internal,0
expand_string_internal,0
expand_string_unsplit,0
expand_string_assignment,0
expand_prompt_string,0
expand_string_leave_quoted,0
expand_string_for_rhs,1
expand_string,0
quote_escapes,0
list_quote_escapes,0
dequote_escapes,0
make_quoted_char,0
quote_string,0
dequote_string,0
quote_list,0
dequote_list,0
remove_quoted_escapes,0
remove_quoted_nulls,1
word_list_remove_quoted_nulls,0
remove_upattern,0
remove_pattern,0
match_upattern,0
match_pattern,0
getpatspec,0
getpattern,0
list_remove_pattern,0
parameter_list_remove_pattern,0
parameter_brace_remove_pattern,0
expand_word,0
expand_word_unsplit,1
expand_word_leave_quoted,0
read_comsub,0
command_substitute,0
valid_brace_expansion_word,0
chk_atstar,0
parameter_brace_expand_word,0
parameter_brace_expand_indir,0
parameter_brace_expand_rhs,1
parameter_brace_expand_error,0
valid_length_expression,0
parameter_brace_expand_length,0
skiparith,0
get_var_and_type,0
parameter_brace_substring,0
shouldexp_replacement,0
pat_subst,0
pos_params_pat_subst,0
parameter_brace_patsub,0
pos_params_modcase,0
parameter_brace_casemod,0
chk_arithsub,0
parameter_brace_expand,3
param_expand,0
expand_word_internal,5
string_quote_removal,1
setifs,0
getifs,0
word_split,0
word_list_split,0
exp_jump_to_top_level,0
separate_out_assignments,0
expand_words,0
expand_words_no_vars,0
expand_words_shellexp,0
glob_expand_word_list,0
shell_expand_word_list,0
expand_word_list_internal,0
_rl_vi_initialize_line,0
_rl_vi_reset_last,0
_rl_vi_set_last,0
rl_vi_start_inserting,0
_rl_vi_textmod_command,0
_rl_vi_stuff_insert,0
rl_vi_redo,0
rl_vi_undo,0
rl_vi_yank_arg,0
rl_vi_fetch_history,0
rl_vi_search_again,0
rl_vi_search,0
rl_vi_complete,0
rl_vi_tilde_expand,0
rl_vi_prev_word,0
rl_vi_next_word,0
rl_vi_end_word,0
rl_vi_fWord,0
rl_vi_bWord,0
rl_vi_eWord,0
